Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
N2A,N2A,101.215,250.107,4/4/2000,PP,2000,N02A,
HQD,HQC,28.25,69.807,3/31/2000,PP,2000,0HQC,
C3B,C4A,2.902,7.17,3/30/2000,PP,2000,C04A,
C3SA,SA,102.076,252.235,3/30/2000,PP,2000,S00A,
C3SC,SC,127.02,313.873,3/30/2000,PP,2000,S00C,
C3SB,SB,226.265,559.112,3/30/2000,PP,2000,S00B,
C3B,C1B,63.817,157.695,3/29/2000,PP,2000,C01B,
C3C,C1B,21.55,53.251,3/29/2000,PP,2000,C01B,
C3C,C1C,81.291,200.874,3/29/2000,PP,2000,C01C,
C3A,C4A,48.728,120.41,3/29/2000,PP,2000,C04A,
C1A,C4D,93.78,231.73,3/29/2000,PP,2000,C04D,
K1A,K1A,113.89,281.428,3/21/2000,PP,2000,K01A,
Nature Trail,Nature Trail,93.37,230.722,3/21/2000,PP,2000,NATR,
WA,WA,11.62,28.72,2/8/2000,PP,2000,00WA,
WB,WB,12.33,30.46,2/8/2000,PP,2000,00WB,
FA,FA,11.09,27.404,12/10/1999,PP,1999,00FA,
FB,FB,11.18,27.626,12/10/1999,PP,1999,00FB,
SuB,SuB,15.63,38.62,7/26/1999,PP,1999,0SuB,
SuA,10C/3U3BC,22.86,56.49,7/26/1999,PP,1999,0SuA,
N4B,N4B,56.775,140.293,5/13/1999,PP,1999,N04B,
1D,1D,41.55,102.67,5/13/1999,PP,1999,001D,
HQC,HQC,17.483,43.201,5/7/1999,PP,1999,0HQC,
SpB,4D/WB,35.74,88.31,4/20/1999,PP,1999,0SpB,
SpA,4C,8.818,21.79,4/20/1999,PP,1999,0SpA,
C1A,Pasture 8,5.1,12.6,4/20/1999,PP,1999,PAST,
C3C,C1B,21.55,53.251,4/20/1999,PP,1999,C01B,
C3C,C1C,81.291,200.874,4/20/1999,PP,1999,C01C,
C3B,C1B,63.69,157.381,4/20/1999,PP,1999,C01B,
R20A,1A,26.332,65.068,4/12/1999,PP,1999,R20A,
N2B,N2B,118.781,293.514,4/12/1999,PP,1999,N02B,
R20B,1C,12.315,30.431,4/12/1999,PP,1999,R20B,
2A,2A,27.96,69.1,4/12/1999,PP,1999,002A,
1B,1B/WA,35.89,88.69,4/12/1999,PP,1999,001B,
2C,2C,22.95,56.72,4/12/1999,PP,1999,002C,
4A,4A,18.84,46.56,4/12/1999,PP,1999,004A,
Belowground Plots,Belowground Plots,1.45,3.58,4/7/1999,PP,1999,LTERBG,
N1A,N1A,93.855,231.92,4/6/1999,PP,1999,N01A,
N1B,N1B,120.683,298.214,4/6/1999,PP,1999,N01B,
K1B,K1B,105.138,259.801,3/29/1999,PP,1999,K01B,
White Pasture,White Pasture,166.82,412.22,3/18/1999,PP,1999,WHIT,
WB,WB,12.33,30.46,2/9/1999,PP,1999,00WB,
WA,WA,11.62,28.72,2/9/1999,PP,1999,00WA,
FB,FB,11.181,27.629,12/1/1998,PP,1998,00FB,
FA,FA,11.089,27.401,12/1/1998,PP,1998,00FA,
4B,4B,54.5,134.67,5/4/1998,PP,1998,004B,
1B,1B/WA,35.89,88.69,5/4/1998,PP,1998,001B,
SpA,4C,8.818,21.79,5/4/1998,PP,1998,0SpA,
R20A,1A,26.332,65.068,5/4/1998,PP,1998,R20A,
2B,2B,6.08,15.02,4/23/1998,PP,1998,002B,
R20B,1C,12.315,30.431,4/23/1998,PP,1998,R20B,
SpB,4D/WB,35.74,88.31,4/23/1998,PP,1998,0SpB,
2D,2D,48.41,119.62,4/22/1998,PP,1998,002D,
1D,1D,41.55,102.67,4/22/1998,PP,1998,001D,
R1B,4H,3.377,8.345,4/22/1998,PP,1998,004H,
N1A,N1A,93.855,231.92,4/22/1998,PP,1998,N01A,
K1B,K1B,105.138,259.801,4/22/1998,PP,1998,K01B,
C1SB,Texas Hog Pasture,69.81,172.51,4/18/1998,PP,1998,TXHP,
C3SB,S3B,226.265,559.112,4/17/1998,PP,1998,S00B,
C3SC,S3C,127.02,313.873,4/17/1998,PP,1998,S00C,
K2A,K2A,66.1,163.336,4/17/1998,PP,1998,K02A,
K1A,K1A,113.89,281.428,4/15/1998,PP,1998,K01A,
Nature Trail,Nature Trail,101.87,251.726,4/15/1998,PP,1998,NATR,
Belowground Plots,Belowground Plots,1.45,3.58,4/14/1998,PP,1998,LTERBG,
HQA,HQA,12.28,30.344,4/10/1998,PP,1998,0HQA,
HQC,HQC,17.483,43.201,4/10/1998,PP,1998,0HQC,
HQD,HQC,28.25,69.807,4/10/1998,PP,1998,0HQC,
N4C,N4C,77.842,192.351,4/10/1998,PP,1998,N04C,
N2A,N2A,101.215,250.107,4/10/1998,PP,1998,N02A,
C3B,C1B,63.69,157.381,4/6/1998,PP,1998,C01B,
C3C,C1B,21.55,53.251,4/6/1998,PP,1998,C01B,
C3C,C1C,81.291,200.874,4/6/1998,PP,1998,C01C,
C1A,Pasture 8,5.1,12.6,4/6/1998,PP,1998,PAST,
N4D,N4D,135.45,334.704,4/2/1998,PP,1998,N04D,
N1B,N1B,120.683,298.214,4/2/1998,PP,1998,N01B,
WA,WA,11.62,28.72,2/20/1998,PP,1998,00WA,
WB,WB,12.33,30.46,2/20/1998,PP,1998,00WB,
FA,FA,11.089,27.401,11/21/1997,PP,1997,00FA,
FB,FB,11.181,27.629,11/21/1997,PP,1997,00FB,
SuB,SuB,15.63,38.62,7/31/1997,PP,1997,0SuB,
SuA,10C/3U3BC,22.86,56.49,7/31/1997,PP,1997,0SuA,
R20A,1A,26.332,65.068,4/28/1997,PP,1997,R20A,
HQC,HQC,17.483,43.201,4/28/1997,PP,1997,0HQC,
K1B,K1B,105.138,259.801,4/25/1997,PP,1997,K01B,
C1SB,Texas Hog Pasture,69.81,172.51,4/19/1997,PP,1997,TXHP,
SpA,4C,8.818,21.79,4/17/1997,PP,1997,0SpA,
1D,1D,41.55,102.67,4/17/1997,PP,1997,001D,
1B,1B/WA,35.89,88.69,4/17/1997,PP,1997,001B,
Belowground Plots,Belowground Plots,1.45,3.58,4/16/1997,PP,1997,LTERBG,
SpB,4D/WB,35.74,88.31,4/15/1997,PP,1997,0SpB,
SpA,10A,19.54,48.27,4/15/1997,PU,1997,010A,
C3SC,S3C,127.02,313.873,4/9/1997,PP,1997,S00C,
C3SB,S3B,226.265,559.112,4/9/1997,PP,1997,S00B,
K4A,K4A,53.161,131.363,4/7/1997,PP,1997,K04A,
N1A,N1A,93.855,231.92,4/7/1997,PP,1997,N01A,
N1B,N1B,120.683,298.214,4/7/1997,PP,1997,N01B,
Nature Trail,Nature Trail,101.87,251.726,4/3/1997,PP,1997,NATR,
C1A,Pasture 8,5.1,12.6,4/3/1997,PP,1997,PAST,
K1A,K1A,113.89,281.428,4/3/1997,PP,1997,K01A,
C3C,C1B,21.55,53.251,4/3/1997,PP,1997,C01B,
C3C,C1C,81.291,200.874,4/3/1997,PP,1997,C01C,
C3B,C1B,63.69,157.381,4/3/1997,PP,1997,C01B,
R20B,1C,12.315,30.431,3/31/1997,PP,1997,R20B,
2C,2C,22.95,56.72,3/31/1997,PP,1997,002C,
SpA,10A,5,12.355,3/24/1997,WU,1997,010A,
WB,WB,12.33,30.46,2/25/1997,PP,1997,00WB,
WA,WA,11.62,28.72,2/25/1997,PP,1997,00WA,
HQB,HQB,14.919,36.866,1/30/1997,PP,1997,0HQB,
HQA,HQA,12.28,30.344,1/30/1997,PP,1997,0HQA,
FB,FB,11.181,27.629,11/7/1996,PP,1996,00FB,
FA,FA,11.089,27.401,11/7/1996,PP,1996,00FA,
2B,10B,8.21,20.29,5/13/1996,PP,1996,010B,
2B,2B,6.08,15.02,5/13/1996,PP,1996,002B,
SpB,4D/WB,35.74,88.31,5/13/1996,PP,1996,0SpB,
Belowground Plots,Belowground Plots,1.45,3.58,5/11/1996,PP,1996,LTERBG,
N1A,N1A,33.83,83.596,5/2/1996,PP,1996,N01ANE,
N2B,N2B,118.781,293.514,4/30/1996,PP,1996,N02B,
N1A,N1A,60.03,148.322,4/30/1996,PP,1996,N01ASW,
2A,2A,27.96,69.1,4/26/1996,PP,1996,002A,
4F,4F,1,2.47,4/23/1996,PU,1996,004F,
1B,1B/WA,35.89,88.69,4/23/1996,PP,1996,001B,
SuA,10C/3U3BC,22.86,56.49,4/23/1996,PU ,1996,0SuA,
SuB,SuB,15.63,38.62,4/23/1996,PU ,1996,0SuB,
HQD,HQC,28.25,69.807,4/20/1996,PP,1996,0HQC,
N2A,N2A,101.215,250.107,4/20/1996,PP,1996,N02A,
R20A,1A,26.332,65.068,4/16/1996,PP,1996,R20A,
C1A,Pasture 8,5.1,12.6,4/9/1996,PP,1996,PAST,
SpA,4C,8.818,21.79,4/9/1996,PP,1996,0SpA,
K1A,K1A,113.89,281.428,4/5/1996,PP,1996,K01A,
K1B,K4B,39.12,96.66,3/26/1996,PU ,1996,K04B,
N20B,N20B,84.364,208.467,3/26/1996,PU ,1996,N20B,
C3B,C1B,63.69,157.381,2/25/1996,WP ,1996,C01B,
C3B,C4A,2.902,7.17,2/25/1996,WP ,1996,C04A,
C3C,C1B,21.815,53.906,2/25/1996,WP ,1996,C01B,
C3C,C1C,81,200.155,2/25/1996,WP ,1996,C01C,
C3SA,S3A,102.076,252.235,2/25/1996,WP ,1996,S00A,
C3A,C4A,48.728,120.41,2/25/1996,WP ,1996,C04A,
C3SB,S3B,226.265,559.112,2/25/1996,WP ,1996,S00B,
C3SC,S3C,127.02,313.873,2/25/1996,WP ,1996,S00C,
AL,AL,22,54.36,2/25/1996,WU,1996,0ALC,
C1A,C4D,89,219,2/25/1996,WP,1996,C04D,
2D,2D,48.41,119.62,2/25/1996,WP ,1996,002D,
4F,4F,15.37,37.98,2/25/1996,WU,1996,004F,
1D,1D,41.55,102.67,2/25/1996,WP,1996,001D,
R20B,1C,12.315,30.431,2/25/1996,WP ,1996,R20B,
N1B,N1B,120.683,298.214,2/25/1996,PP,1996,N01B,
K1B,K1B,105.138,259.801,2/25/1996,WP ,1996,K01B,
K1B,K4B,37,91.429,2/25/1996,WP ,1996,K04B,
K2A,K2A,66.1,163.336,2/25/1996,WP ,1996,K02A,
SuA,10C/3U3BC,5,12.36,2/25/1996,WP ,1996,0SuA,
SuB,SuB,7,17.3,2/25/1996,WP ,1996,0SuB,
White Pasture,White Pasture,166.82,412.22,2/25/1996,WP ,1996,WHIT,
N20B,N20B,17,42.008,2/25/1996,WU,1996,N20B,
WA,WA,11.62,28.72,2/9/1996,PP,1996,00WA,
WB,WB,12.33,30.46,2/9/1996,PP,1996,00WB,
FA,FA,11.089,27.401,11/21/1995,PP,1995,00FA,
FB,FB,11.181,27.629,11/21/1995,PP,1995,00FB,
C1SB,Texas Hog Pasture,69.81,172.51,4/28/1995,PP,1995,TXHP,
Nature Trail,Nature Trail,101.87,251.726,4/27/1995,PP,1995,NATR,
Belowground Plots,Belowground Plots,1.45,3.58,4/27/1995,PP,1995,LTERBG,UB plots 1-2 burned accidently on 04/03/1995
SpA,4C,8.818,21.79,4/25/1995,PP,1995,0SpA,
N1A,N1A,93.855,231.92,4/24/1995,PP,1995,N01A,
K1A,K1A,113.89,281.428,4/24/1995,PP,1995,K01A,
HQB,HQB,14.919,36.866,4/24/1995,PP,1995,0HQB,
HQA,HQA,12.28,30.344,4/24/1995,PP,1995,0HQA,
K1B,K1B,105.138,259.801,4/21/1995,PP,1995,K01B,
1D,1D,41.55,102.67,4/19/1995,PP,1995,001D,
C1A,Pasture 8,5.1,12.6,4/19/1995,PP,1995,PAST,
C3C,C1B,21.55,53.251,4/19/1995,PP,1995,C01B,
C3C,C1C,81.291,200.874,4/19/1995,PP,1995,C01C,
C3B,C1B,63.69,157.381,4/19/1995,PP,1995,C01B,
SpB,4D/WB,35.74,88.31,4/13/1995,PP,1995,0SpB,
N1B,N1B,120.683,298.214,4/13/1995,PP,1995,N01B,
2C,2C,22.95,56.72,4/8/1995,PP,1995,002C,
R20A,1A,26.332,65.068,4/6/1995,PP,1995,R20A,
R20B,1C,12.315,30.431,4/6/1995,PP,1995,R20B,
1B,1B/WA,35.89,88.69,4/6/1995,PP,1995,001B,
HQC,HQC,17.483,43.201,4/3/1995,PP,1995,0HQC,
WB,WB,12.33,30.46,2/21/1995,PP,1995,00WB,
WA,WA,11.62,28.72,2/21/1995,PP,1995,00WA,
FB,FB,11.181,27.629,11/23/1994,PP,1994,00FB,
FA,FA,11.089,27.401,11/23/1994,PP,1994,00FA,
SuB,SuB,15.63,38.62,9/7/1994,PP,1994,0SuB,
SuA,10C/3U3BC,22.86,56.49,9/2/1994,PP,1994,0SuA,
2B,2B,6.08,15.02,5/5/1994,PP,1994,002B,
SpA,4C,8.818,21.79,5/5/1994,PP,1994,0SpA,
SpB,4D/WB,35.74,88.31,5/5/1994,PP,1994,0SpB,
2D,2D,48.41,119.62,5/4/1994,PP,1994,002D,
1D,1D,41.55,102.67,5/4/1994,PP,1994,001D,
R20B,1C,12.315,30.431,5/4/1994,PP,1994,R20B,
R1B,4H,3.377,8.345,5/4/1994,PP,1994,004H,
Belowground Plots,Belowground Plots,1.45,3.58,5/3/1994,PP,1994,LTERBG,UB plots 17-24 burned accidently on 05/10/1994
N1A,N1A,93.855,231.92,5/3/1994,PP,1994,N01A,
K1A,K1A,113.89,281.428,4/24/1994,PP,1994,K01A,
C3SC,S3C,127.02,313.873,4/22/1994,PU ,1994,S00C,
C3SB,S3B,226.265,559.112,4/22/1994,PP,1994,S00B,
C3SA,S3A,102.076,252.235,4/22/1994,PP,1994,S00A,
C3B,C1B,63.69,157.381,4/22/1994,PP,1994,C01B,
C3C,C1B,21.55,53.251,4/22/1994,PP,1994,C01B,
C3C,C1C,81.291,200.874,4/22/1994,PP,1994,C01C,
AL,AL,14.07,34.77,4/22/1994,PU ,1994,0ALC,
C1A,Pasture 8,5.1,12.6,4/22/1994,PP,1994,PAST,
C1SB,Texas Hog Pasture,69.81,172.51,4/22/1994,PP,1994,TXHP,
N1B,N1B,120.683,298.214,4/21/1994,PP,1994,N01B,
HQA,HQA,12.28,30.344,4/20/1994,PP,1994,0HQA,
HQC,HQC,17.483,43.201,4/20/1994,PP,1994,0HQC,
HQB,HQB,14.919,36.866,4/20/1994,PP,1994,0HQB,
HQD,HQC,28.25,69.807,4/20/1994,PP,1994,0HQC,
White Pasture,White Pasture,166.82,412.22,4/17/1994,WP ,1994,WHIT,
Nature Trail,Nature Trail,101.87,251.726,4/16/1994,PP,1994,NATR,
N2B,N2B,118.781,293.514,4/13/1994,WP ,1994,N02B,
N2A,N2A,101.215,250.107,4/13/1994,WU,1994,N02A,
4B,4B,54.5,134.67,3/31/1994,WU,1994,004B,
HQD,HQC,28.25,69.807,3/31/1994,WU,1994,0HQC,
4A,4A,18.84,46.56,3/31/1994,WU,1994,004A,
1B,1B/WA,35.89,88.69,3/31/1994,WP ,1994,001B,
2A,2A,27.96,69.1,3/31/1994,WU,1994,002A,
R1A,20A/3B3UA,48.66,120.241,3/31/1994,WU,1994,R01A,
N4A,N4A,99.196,245.118,3/31/1994,WU,1994,N04A,
N4D,N4D,135.45,334.704,3/31/1994,WU,1994,N04D,
N4C,N4C,77.842,192.351,3/31/1994,WP ,1994,N04C,
R20A,1A,26.332,65.068,3/31/1994,WP ,1994,R20A,
K2A,K2A,66.1,163.336,3/30/1994,PP,1994,K02A,
K1B,K1B,105.138,259.801,3/30/1994,PP,1994,K01B,
WA,WA,11.62,28.72,2/15/1994,PP,1994,00WA,
WB,WB,12.33,30.46,2/15/1994,PP,1994,00WB,
FA,FA,11.089,27.401,11/29/1993,PP,1993,00FA,
FB,FB,11.181,27.629,11/29/1993,PP,1993,00FB,
K1B,K1B,105.138,259.801,5/13/1993,PP,1993,K01B,
K2A,K2A,3.244,8.016,5/13/1993,WU,1993,K02A,
C3SC,S3C,74.882,185.037,5/13/1993,WU,1993,S00C,
SpA,4C,8.818,21.791,5/4/1993,PP,1993,004C,
HQD,HQC,28.25,69.807,5/4/1993,PP,1993,0HQC,
WA,3U3BB,11.62,28.72,4/30/1993,PP,1993,00WA,
R20B,1C,12.315,30.431,4/30/1993,PP,1993,R20B,
C1A,C4B,13.11,32.41,4/30/1993,WU,1993,C02B,
C3C,C1B,103.106,254.78,4/30/1993,PP,1993,C01A,
C3B,C4A,53.239,131.556,4/30/1993,PP,1993,C02A,
C3A,C4A,24.222,59.855,4/30/1993,PP,1993,C02A,
N2A,N2A,101.215,250.107,4/29/1993,PP,1993,N02A,
Belowground Plots,Belowground Plots,1.45,3.58,4/29/1993,PP,1993,LTERBG,
HQC,HQC,17.483,43.201,4/29/1993,PP,1993,0HQC,
2C,2C,22.95,56.72,4/26/1993,PP,1993,002C,
4F,4F,16.37,40.44,4/26/1993,PP,1993,004F,
R20A,1A,26.332,65.068,4/24/1993,PP,1993,R20A,
2A,2A,27.96,69.1,4/24/1993,PP,1993,002A,
1D,1D,41.55,102.67,4/24/1993,PP,1993,001D,
1B,1B/WA,35.89,88.69,4/24/1993,PP,1993,001B,
N1A,N1A,93.855,231.92,4/21/1993,PP,1993,N01A,
N4B,N4B,56.775,140.293,4/21/1993,PP,1993,N04B,
K4A,K4A,53.161,131.363,4/10/1993,PP,1993,K04A,
N1B,N1B,120.683,298.214,4/10/1993,PP,1993,N01B,
4F,4F,7,17.3,9/20/1992,WU,1992,004F,
R20B,1C,0.5,1,9/20/1992,WP,1992,R20B,
N1B,N1B,46,113,9/20/1992,WP,1992,N01B,
K1B,K4B,24,58,9/20/1992,WU,1992,K04B,
WA,3U3BB,3,7.4,9/20/1992,WU,1992,00WA,
N20B,N20B,26,65,9/20/1992,WU,1992,N20B,
Belowground Plots,Belowground Plots,1.45,3.58,4/28/1992,PP,1992,LTERBG,
1B,1B/WA,35.89,88.69,4/28/1992,PP,1992,001B,
2B,2B,6.08,15.02,4/28/1992,PP,1992,002B,
R20B,1C,12.315,30.431,4/28/1992,PP,1992,001C,
2D,2D,48.41,119.62,4/23/1992,PP,1992,002D,
1D,1D,41.55,102.67,4/23/1992,PP,1992,001D,
20C,3B3UD,5.7,14.09,4/23/1992,PP,1992,033D,
WB,4G,12.33,30.46,4/23/1992,PP,1992,004G,
HQA,HQA,12.278,30.34,4/22/1992,PP,1992,0HQA,
HQC,HQC,17.483,43.201,4/22/1992,PP,1992,0HQC,
HQB,HQB,14.922,36.873,4/22/1992,PP,1992,0HQB,
HQD,HQC,28.25,69.807,4/22/1992,PP,1992,0HQC,
K1A,K1A,113.89,281.428,4/22/1992,PP,1992,K01A,
N1B,N1B,120.683,298.214,4/17/1992,PP,1992,N01B,
K1B,K1B,105.138,259.801,4/17/1992,PP,1992,K01B,
K1B,K4B,76.118,188.092,4/17/1992,PP,1992,K04B,
N20A,N20A,82.978,205.043,4/14/1992,PP,1992,N20A,
N2B,N2B,118.781,293.514,4/14/1992,PP,1992,N02B,
N1A,N1A,93.855,231.92,4/14/1992,PP,1992,N01A,
4A,4A,18.84,46.56,4/13/1992,PP,1992,004A,
R1A,3B3UA,29.124,71.966,4/13/1992,PP,1992,033A,
R20A,1A,26.332,65.068,4/13/1992,PP,1992,001A,
N4A,N4A,99.196,245.118,4/11/1992,PP,1992,N04A,
C3A,C4A1,23.656,58.455,4/9/1992,PP,1992,C20A,
C3A,C4A2,25.072,61.954,4/9/1992,PP,1992,C20A,
C3B,C4A1,14.212,35.119,4/9/1992,PP,1992,C20A,
C3B,C4A2,54.14,133.783,4/9/1992,PP,1992,C02A,
C3C,C1B,101.552,250.94,4/9/1992,PP,1992,C01A,
C1A,C4B,93.78,231.73,4/9/1992,PP,1992,C02B,
K2A,K2A,66.1,163.336,4/9/1992,PP,1992,K02A,
N20B,N20B,22.91,56.612,10/20/1991,WU,1991,N20B,
WA,3U3BB,4.56,11.27,10/20/1991,WU,1991,033B,
K1B,K4B,28.57,70.598,10/20/1991,WU,1991,K04B,
20B,20B/UC/4B,2,5,10/20/1991,WU,1991,020B,
N1B,N1B,61.45,151.846,10/20/1991,WU,1991,N01B,
R20B,1C,1,2.46,10/20/1991,WU,1991,001C,
4F,4F,9.71,23.99,10/20/1991,WU,1991,004F,
FB,WC,1,2.46,10/20/1991,WU,1991,099C,
Belowground Plots,Belowground Plots,1.45,3.58,5/1/1991,PP,1991,LTERBG,
R20A,1A,26.332,65.068,4/24/1991,PP,1991,001A,
SpA,10A,24.537,60.631,4/24/1991,PP,1991,010A,
R1A,3B3UA,29.124,71.966,4/24/1991,PP,1991,033A,
2A,2A,27.96,69.1,4/24/1991,PP,1991,002A,
1B,1B/WA,35.89,88.69,4/24/1991,PP,1991,001B,
4B,4B,54.5,134.67,4/24/1991,PP,1991,004B,
N2A,N2A,101.215,250.107,4/23/1991,PP,1991,N02A,
K1A,K1A,113.89,281.428,4/19/1991,PP,1991,K01A,
WB,4G,12.33,30.46,4/5/1991,WU,1991,004G,
SuB,10D,15.63,38.62,4/5/1991,WU,1991,010D,
N20B,N20B,84.364,208.467,4/5/1991,WU,1991,N20B,
SuA,10C,11.06,27.32,4/5/1991,WU,1991,010C,
SuA,3U3BC,11.8,29.17,4/5/1991,WU,1991,033C,
WA,3U3BB,11.62,28.72,4/5/1991,WU,1991,033B,
K1B,K1B,105.138,259.801,4/5/1991,WP ,1991,K01B,
K1B,K4B,76.118,188.092,4/5/1991,WU,1991,K04B,
K2A,K2A,66.1,163.336,4/5/1991,WU,1991,K02A,
K4A,K4A,53.161,131.364,4/5/1991,WU,1991,K04A,
20B,20B/UC/4B,23.77,58.75,4/5/1991,WU,1991,020B,
N1A,N1A,93.855,231.92,4/5/1991,WP ,1991,N01A,
N1B,N1B,120.683,298.214,4/5/1991,WP ,1991,N01B,
N4D,N4D,135.45,334.704,4/5/1991,WU,1991,N04D,
N2B,N2B,118.781,293.514,4/5/1991,WU,1991,N02B,
N20A,N20A,82.978,205.043,4/5/1991,WP ,1991,N20A,
K20A,K20A,83.13,205.418,4/5/1991,WU,1991,K20A,
N4B,N4B,56.775,140.293,4/5/1991,WU,1991,N04B,
R1B,4H,3.377,8.345,4/5/1991,WU,1991,004H,
R1B,20D,36.42,89.996,4/5/1991,WU,1991,020D,
R20B,1C,12.315,30.431,4/5/1991,WP ,1991,001C,
20C,3B3UD,5.7,14.09,4/5/1991,WP ,1991,033D,
20C,UC,30.37,75.04,4/5/1991,WU,1991,020C,
1D,1D,41.55,102.67,4/5/1991,WP ,1991,001D,
2D,2D,48.41,119.62,4/5/1991,WU,1991,002D,
2C,2C,22.95,56.72,4/5/1991,WP ,1991,002C,
4F,4F,16.37,40.44,4/5/1991,WU,1991,004F,
C1SB,Texas Hog Pasture,69.81,172.51,4/5/1991,WU,1991,TXHO,
C1A,C4B,93.78,231.73,4/5/1991,WU,1991,C02B,
FA,4E,11.089,27.402,4/5/1991,WP ,1991,004E,
FB,WC,11.181,27.628,4/5/1991,WU,1991,099C,
C3C,C1B,101.552,250.94,4/5/1991,WP ,1991,C01A,
C3B,C4A2,54.14,133.783,4/5/1991,WP ,1991,C02A,
C3B,C4A1,14.212,35.119,4/5/1991,WU,1991,C20A,
C3SB,S3B,226.265,559.112,4/5/1991,WU,1991,S03B,
C3SC,S3C,127.023,313.88,4/5/1991,WU,1991,S03C,
C3A,C4A2,25.072,61.954,4/5/1991,WP ,1991,C20A,
C3A,C4A1,23.656,58.455,4/5/1991,WU,1991,C20A,
C3SA,S3A,102.075,252.232,4/5/1991,WP ,1991,S03A,
HQD,HQC,28.25,69.807,4/4/1991,PP,1991,0HQC,
HQB,HQB,14.922,36.873,4/4/1991,PP,1991,0HQB,
HQC,HQC,17.483,43.201,4/4/1991,PP,1991,0HQC,
HQA,HQA,12.278,30.34,4/4/1991,PP,1991,0HQA,
Belowground Plots,Belowground Plots,1.45,3.58,5/1/1990,PP,1990,LTERBG,
C3SB,S3B,226.265,559.112,4/30/1990,PP,1990,S03B,
White Pasture,White Pasture,166.82,412.22,4/30/1990,PP,1990,WHIT,
20C,3B3UD,5.7,14.09,4/23/1990,PP,1990,033D,
N20A,N20A,82.978,205.043,4/23/1990,PP,1990,N20A,
HQC,HQC,17.483,43.201,4/21/1990,PP,1990,0HQC,
HQD,HQC,28.25,69.807,4/21/1990,PP,1990,0HQC,
C3B,C1B,20,50,4/18/1990,PP,1990,C01B,
C3C,C1B,101.552,250.94,4/18/1990,PP,1990,C01A,
C1A,C4B,93.78,231.73,4/18/1990,PP,1990,C02B,
2D,2D,48.41,119.62,4/18/1990,PP,1990,002D,
R1B,4H,3.377,8.345,4/18/1990,PP,1990,004H,
1D,1D,41.55,102.67,4/16/1990,PP,1990,001D,
K2A,K2A,66.1,163.336,4/16/1990,PP,1990,K02A,
K1B,K1B,105.138,259.801,4/16/1990,PP,1990,K01B,
SpB,4D,20.37,50.33,4/14/1990,PP,1990,004D,
2B,2B,6.08,15.02,4/12/1990,PP,1990,002B,
R20B,1C,12.315,30.431,4/12/1990,PP,1990,001C,
HQA,HQA,12.278,30.34,4/11/1990,PP,1990,0HQA,
HQB,HQB,14.922,36.873,4/11/1990,PP,1990,0HQB,
